Stations-ID;Stationsname;Bundesland;von;bis;Hoehe;geoBreite;geoLaenge
6346;Maisach-Galgen;Bayern;20050201;20150324;530;48,2072;11,2034
3147;Mallersdorf-Pfaffenberg/Niederbayern;Bayern;19850101;20150324;418;48,7726;12,2177
3155;Manderscheid-Sonnenhof;Rheinland-Pfalz;20040801;20150324;413;50,1016;6,8015
5906;Mannheim;Baden-Württemberg;19480101;20150324;96;49,509;8,5541
3158;Manschnow;Brandenburg;19890101;20150324;12;52,5468;14,5452
3166;Marienberg;Sachsen;19820101;20150324;639;50,651;13,1469
3167;Marienberg, Bad;Rheinland-Pfalz;19621201;20150324;547;50,662;7,9602
6312;Markt Erlbach-Mosbach;Bayern;20041101;20150324;362;49,5314;10,6418
3196;Marnitz;Mecklenburg-Vorpommern;19810101;20150324;81;53,3223;11,9319
3204;Martinroda;Thüringen;20080701;20150324;430;50,7335;10,8818
13713;Meinerzhagen-Redlendorf;Nordrhein-Westfalen;20071101;20150324;380;51,0898;7,6289
3231;Meiningen;Thüringen;19790101;20150324;450;50,5612;10,3771
3244;Memmingen;Bayern;19750601;20150324;615;47,982;10,1384
3509;Menz;Brandenburg;20041001;20150324;77;53,102;13,0421
3254;Meppen;Niedersachsen;20020102;20150324;19;52,7156;7,3176
3257;Mergentheim, Bad-Neunkirchen;Baden-Württemberg;20040601;20150324;250;49,4773;9,7623
2814;Merklingen;Baden-Württemberg;19750601;20150324;685;48,5121;9,7645
3268;Meßstetten;Baden-Württemberg;20021101;20150324;920;48,1875;8,9938
3271;Metten;Bayern;20041101;20150324;313;48,8548;12,9187
3278;Metzingen;Baden-Württemberg;20090401;20150324;355;48,5376;9,2733
3284;Michelstadt;Hessen;20050501;20150324;240;49,6691;9,0085
3287;Michelstadt-Vielbrunn;Hessen;19871001;20150324;453;49,7176;9,0997
4857;Mittelnkirchen-Hohenfelde;Niedersachsen;20040901;20150324;1;53,5512;9,6082
3307;Mittenwald-Buckelwiesen;Bayern;20080401;20150324;981;47,4778;11,2654
1279;Möhrendorf-Kleinseebach;Bayern;19861101;20150324;268;49,6497;11,0073
3340;Montabaur;Rheinland-Pfalz;20050501;20150324;265;50,4383;7,8061
6272;Moorgrund Gräfen-Nitzendorf;Thüringen;20041001;20150324;283;50,8424;10,2516
3348;Moringen-Lutterbeck;Niedersachsen;20040601;20150324;240;51,7209;9,8352
3362;Mühlacker;Baden-Württemberg;20020101;20150324;244;48,9721;8,8734
3366;Mühldorf;Bayern;19550101;20150324;406;48,2791;12,5024
6305;Mühlhausen/Thüringen-Görmar;Thüringen;20041201;20150324;190;51,2065;10,4948
259;Müllheim;Baden-Württemberg;20040701;20150324;273;47,8063;7,6384
3376;Müncheberg;Brandenburg;19910101;20150324;63;52,5176;14,1232
1262;München-Flughafen;Bayern;19920517;20150324;446;48,3477;11,8133
3379;München-Stadt;Bayern;19970701;20150324;515;48,1631;11,5429
3402;Münsingen-Apfelstetten;Baden-Württemberg;20021101;20150324;750;48,3851;9,4837
1766;Münster/Osnabrück;Nordrhein-Westfalen;19891001;20150324;48;52,1346;7,6964
3426;Muskau, Bad;Sachsen;20040601;20150324;125;51,5662;14,6989
6186;Nastätten;Rheinland-Pfalz;20040801;20150324;268;50,1988;7,8647
3442;Nauheim, Bad;Hessen;20041001;20150324;149;50,3574;8,7506
7420;Naumburg/Saale-Kreipitzsch;Sachsen-Anhalt;20070401;20150324;246;51,1043;11,711
5562;Neubulach-Oberhaugstett;Baden-Württemberg;20040601;20150324;570;48,6516;8,6801
3484;Neuburg/Donau (Flugplatz);Bayern;20020101;20150324;380;48,7097;11,2096
3485;Neuburg/Kammel-Langenhaslach;Bayern;20050501;20150324;486;48,3116;10,3771
3490;Neuenahr, Bad-Ahrweiler;Rheinland-Pfalz;20040901;20150324;111;50,5346;7,0853
3513;Neuhaus am Rennweg;Thüringen;19890501;20150324;845;50,5002;11,1344
7412;Neuhütten/Spessart;Bayern;20061001;20150324;340;50,0083;9,4239
3527;Neukirchen-Hauptschwenda;Hessen;20040501;20150324;500;50,8924;9,4053
3540;Neunkirchen-Seelscheid-Krawinkel;Nordrhein-Westfalen;20041101;20150324;195;50,8446;7,3714
